NUM_CORR_ACI;SIGLA_ACO;TEMP_INTER_SUBLANCA_LD;P;PS_TA;fam_TA
496839;24JDAA000100010099;1585;24.01;1900;media
498370;MOCBAS016000136099;1576;10.86;2000;media
501504;GXCHAS018000145099;1595;30.65;8000;max
501762;LQCDAA006000066099;1553;15.58;0;min
501699;MBA2AA000150010099;1523;5.415;0;min
496599;DDC1AA0160000360X9;1568;11.14;7900;max
502284;TGCDAA008000061099;1619;17.035;0;min
502982;RJZHAS014000130099;1641;29.89;2000;media
496596;EICBAA013000171099;1618;9.585;0;min
497797;DMCEAS018000136099;1602;7.33;0;min
500458;9GJKAS003000120099;1548;4.525;0;min
496918;KHCEAA0160000360X9;1588;13.02;1900;media
501119;TBCDAS0070002000X9;1603;10.965;1900;media
500840;9GJKAS003000120099;1587;3.89;0;min
498521;DVCEAS0140002100X9;1629;12.905;2100;media
498483;WOMAAS008000150099;1552;8.57;0;min
496684;VJQ1AA000150015099;1631;16.065;7900;max
501701;MBA2AA000150010099;1586;8.395;7900;max
496529;EWZBAA006000120099;1602;12.405;2100;media
501494;CJNEAS016000150099;1641;10.105;0;min
501619;MBA2AA000150010099;1596;23.995;8000;max
497261;MBA2AA000150010099;1588;18.535;0;min
500709;GXCHAS018000145099;1592;21.95;8100;max
502537;WOMAAS008000150099;1614;10.725;0;min
498853;YUCBAA007000153099;1688;15.035;1900;media
497238;ZMREAS008000160099;1586;11.03;0;min
497695;BKIBAA006000030099;1622;8.98;0;min
502168;DCC1AS006000110099;1608;17.2;0;min
498128;QECDAA0090000360X9;1587;17.865;2000;media
500866;GXCHAS018000145099;1613;17.185;0;min
498096;WOMAAS008000150099;1617;14.185;0;min
502495;WOMAAS008000150099;1551;6.54;1900;media
498911;QTZ1AA004000045099;1656;23.485;1900;media
502882;GWBCAA008000086099;1588;15.05;2100;media
501212;YUCBAA007000153099;1563;13.32;0;min
498065;WOMAAS008000150099;1641;14.035;0;min
501496;CJNEAS016000150099;1562;10.1;0;min
497063;VJQ1AA000150015099;1645;11.895;0;min
496575;MBA2AA000150010099;1568;7.545;0;min
501121;9GJKAS003000120099;1640;4.655;0;min
502740;30Z2AA000200026099;1658;28.045;0;min
501905;MBA2AA000150010099;1529;7.91;2100;media
496915;VJQ1AA000150015099;1591;14.84;7900;max
497670;ILI1AS0460000660X9;1583;15.605;0;min
501902;YWMEAS007000125099;1582;14.435;2100;media
500593;FVZ1AA000150064099;1607;15.815;0;min
496930;24JDAA000100010099;1582;11.805;2000;media
496838;LQC1AA006000066099;1624;15.925;0;min
501016;84D1AS000150050099;1574;35.125;0;min
502446;9LMEAS007000180099;1612;8.46;0;min
502954;MBA2AA000150010099;1603;17.435;0;min
