"NUM_CORR_ACI";"COD_LOCAL_EVENTO_ACI";"NUM_TRAT_ACO_PAN";"MES";"AL_CAS";"GRAU";"TRAT";"S_MAX";"family"
"1656";491300;"OB2";1;201404;508;"AA";"C1";10;"AA-C1-10"
"1657";491301;"OB2";1;201404;475;"AA";"C1";10;"AA-C1-10"
"1658";491304;"OB2";1;201404;88;"AA";"C1";10;"AA-C1-10"
"1661";491468;"OB1";1;201404;408;"AA";"C1";10;"AA-C1-10"
"1664";491551;"OB1";NA;201404;0;"AA";"C1";10;"AA-C1-10"
"1669";491728;"OB1";1;201405;88;"AA";"C1";10;"AA-C1-10"
"1674";491927;"OB2";1;201405;176;"AA";"C1";10;"AA-C1-10"
"1678";492075;"OB1";1;201405;145;"AA";"C1";10;"AA-C1-10"
"1691";492394;"OB2";1;201406;39;"AA";"C1";10;"AA-C1-10"
"1709";492769;"OB1";1;201406;200;"AA";"C1";10;"AA-C1-10"
"1728";493060;"OB2";1;201407;453;"AA";"C1";10;"AA-C1-10"
"1729";493061;"OB1";1;201407;514;"AA";"C1";10;"AA-C1-10"
"1756";493509;"OB1";1;201408;288;"AA";"C1";10;"AA-C1-10"
"1762";493595;"OB2";1;201408;250;"AA";"C1";10;"AA-C1-10"
"1771";493737;"OB2";1;201408;450;"AA";"C1";10;"AA-C1-10"
"1772";493742;"OB2";1;201408;0;"AA";"C1";10;"AA-C1-10"
"1780";493981;"OB2";1;201408;538;"AA";"C1";10;"AA-C1-10"
"1783";494039;"OB1";1;201408;731;"AA";"C1";10;"AA-C1-10"
"1787";494070;"OB2";1;201408;382;"AA";"C1";10;"AA-C1-10"
"1788";494076;"OB2";1;201408;246;"AA";"C1";10;"AA-C1-10"
"1793";590182;"OB2";1;201309;289;"AA";"C1";10;"AA-C1-10"
"1802";590537;"OB1";1;201309;128;"AA";"C1";10;"AA-C1-10"
"1804";590548;"OB1";1;201309;183;"AA";"C1";10;"AA-C1-10"
"1807";590555;"OB2";1;201309;201;"AA";"C1";10;"AA-C1-10"
"1813";590756;"OB1";1;201310;615;"AA";"C1";10;"AA-C1-10"
"1823";591122;"OB2";1;201310;145;"AA";"C1";10;"AA-C1-10"
"1826";591133;"OB2";1;201310;333;"AA";"C1";10;"AA-C1-10"
"1827";591154;"OB1";1;201310;208;"AA";"C1";10;"AA-C1-10"
